date,price_dji,price_goog,price_vti,price_s,price_luv,price_msft,price_fez,price_vpl,price_vgk,price_vea,price_bnd,price_intc,price_wmt,price_kr,price_tsla,price_gm,price_cmg,price_t,price_aapl,price_amzn,price_nflx,price_sina,price_pcln,price_pg
4/29/2014,16499.27979,522.59503,97.0575,7.93,23.980001,40.7975,43.445,59.2475,60.010002,41.752502,81.4075,26.4625,79.7375,22.830002,201.95251,33.8525,486.0625,35.3175,84.7,297.27753,45.3175,48.4575,1150.155,82.625
4/30/2014,16554.71191,526.195,97.255005,8.34,24.175,40.3675,43.575,58.947502,60.37,41.8425,81.58,26.482502,79.685,22.8625,205.23251,34.175,492.84747,35.5325,84.7125,301.2225,45.4525,47.585,1150.1699,82.4825
5/1/2014,16567.29199,528.8175,97.4875,8.835,24.324999,40.1375,43.605,59.255,60.537502,42.085,81.585,26.505,79.58,23.060001,208.63,34.877502,499.6625,35.685,84.4525,306.625,47.472504,48.5225,1173.6725,82.24
5/2/2014,16545.90039,530.32495,97.6125,8.622499,24.234999,40,43.420002,59.4,60.3675,41.984997,81.64,26.5025,79.372505,23.1725,209.3475,35.0475,499.6825,35.662502,84.6,309.0075,48.432503,48.5425,1183.8049,82.1225
5/5/2014,16491.32764,525.7125,97.25,8.665,24.127499,39.4725,43.285,59.1725,60.14,41.8475,81.7175,26.145,78.7325,23.205,213.07501,34.7775,509.1825,35.635,85.07751,307.9125,48.715,47.254997,1178.8049,81.6725
5/6/2014,16465.17725,520.56,97.085,8.712501,24.26,39.162502,43.309998,59.28,60.3425,41.9225,81.725,26.185,78.1725,23.1725,212.3475,34.927498,507.49,35.622498,85.53749,303.44,47.9725,47.91,1179.1725,81.4425
5/7/2014,16450.12207,511.4325,96.8975,8.7425,24.1825,39.164997,43.4825,58.945,60.412502,41.857502,81.775,26.325,77.86,23.015,204.61,34.9375,501.83,35.7,84.7375,292.83752,46.06,47.11,1150.79,81.774994
5/8/2014,16548.52246,510.78497,97.12,8.7725,24.317501,39.4625,43.754997,59.0375,60.61,41.9675,81.8525,26.3525,78.380005,23.14,183.2475,34.9975,501.0525,36.2375,84.1825,290.5625,45.89,47.5225,1111.2124,82.090004
5/9/2014,16555.5127,513.395,96.942505,8.7675,24.302502,39.575,43.4425,59.142498,60.262497,41.84,81.76,26.325,78.88,23.130001,180.685,34.52,503.0275,36.377502,83.4525,290.2175,46.355,47.815002,1125.375,82.3825
5/12/2014,16642.48779,525.6575,97.932495,8.8949995,24.7075,39.845,43.78,59.35,60.707504,42.11,81.6575,26.404999,78.995,23.310001,183.9025,34.63,508.94247,36.550003,84.335,298.665,48.3,48.645,1154.0476,82.189995
